Pos.,No.,Driver,Team,Lap,Time of Day,Time,Avg. Speed
1,16,Charles LeclercLEC,Ferrari,45,18:10:59,1:26.725,219.217
2,81,Oscar PiastriPIA,McLaren,44,18:09:22,1:26.765,219.116
3,4,Lando NorrisNOR,McLaren,48,18:15:15,1:26.818,218.982
4,27,Nico HulkenbergHUL,Kick Sauber,46,18:13:14,1:27.050,218.398
5,1,Max VerstappenVER,Red Bull Racing,39,18:01:39,1:27.625,216.965
6,18,Lance StrollSTR,Aston Martin,52,18:21:58,1:27.626,216.963
7,43,Franco ColapintoCOL,Alpine,43,18:07:39,1:27.710,216.755
8,10,Pierre GaslyGAS,Alpine,47,18:13:26,1:27.767,216.614
9,12,Kimi AntonelliANT,Mercedes,34,17:55:24,1:28.029,215.969
10,44,Lewis HamiltonHAM,Ferrari,36,17:58:10,1:28.094,215.810
11,14,Fernando AlonsoALO,Aston Martin,54,18:24:46,1:28.279,215.358
12,23,Alexander AlbonALB,Williams,45,18:11:42,1:28.367,215.143
13,22,Yuki TsunodaTSU,Red Bull Racing,44,18:10:07,1:28.557,214.682
14,63,George RussellRUS,Mercedes,57,18:28:54,1:28.599,214.580
15,31,Esteban OconOCO,Haas F1 Team,56,18:27:47,1:28.655,214.444
16,30,Liam LawsonLAW,Racing Bulls,39,18:02:46,1:28.886,213.887
17,87,Oliver BearmanBEA,Haas F1 Team,50,18:18:55,1:28.976,213.671
18,55,Carlos SainzSAI,Williams,51,18:20:28,1:29.052,213.488
19,5,Gabriel BortoletoBOR,Kick Sauber,47,18:14:30,1:29.114,213.340
20,6,Isack HadjarHAD,Racing Bulls,52,18:22:05,1:29.375,212.717
