Pos.,No.,Driver,Team,Laps,Time / Retired,Pts.
1,1,Max VerstappenVER,Red Bull Racing,58,1:26:07.469,25
2,81,Oscar PiastriPIA,McLaren,58,+12.594s,18
3,4,Lando NorrisNOR,McLaren,58,+16.572s,15
4,16,Charles LeclercLEC,Ferrari,58,+23.279s,12
5,63,George RussellRUS,Mercedes,58,+48.563s,10
6,14,Fernando AlonsoALO,Aston Martin,58,+67.562s,8
7,31,Esteban OconOCO,Haas F1 Team,58,+69.876s,6
8,44,Lewis HamiltonHAM,Ferrari,58,+72.670s,4
9,27,Nico HulkenbergHUL,Kick Sauber,58,+79.014s,2
10,18,Lance StrollSTR,Aston Martin,58,+79.523s,1
11,5,Gabriel BortoletoBOR,Kick Sauber,58,+81.043s,0
12,87,Oliver BearmanBEA,Haas F1 Team,58,+81.166s,0
13,55,Carlos SainzSAI,Williams,58,+82.158s,0
14,22,Yuki TsunodaTSU,Red Bull Racing,58,+83.794s,0
15,12,Kimi AntonelliANT,Mercedes,58,+84.399s,0
16,23,Alexander AlbonALB,Williams,58,+90.327s,0
17,6,Isack HadjarHAD,Racing Bulls,57,+1 lap,0
18,30,Liam LawsonLAW,Racing Bulls,57,+1 lap,0
19,10,Pierre GaslyGAS,Alpine,57,+1 lap,0
20,43,Franco ColapintoCOL,Alpine,57,+1 lap,0
