Pos.,No.,Driver,Team,Time
1,1,Max VerstappenVER,Red Bull Racing,1:22.207
2,4,Lando NorrisNOR,McLaren,1:22.408
3,81,Oscar PiastriPIA,McLaren,1:22.437
4,63,George RussellRUS,Mercedes,1:22.645
5,16,Charles LeclercLEC,Ferrari,1:22.730
6,14,Fernando AlonsoALO,Aston Martin,1:22.902
7,5,Gabriel BortoletoBOR,Kick Sauber,1:22.904
8,31,Esteban OconOCO,Haas F1 Team,1:22.913
9,6,Isack HadjarHAD,Racing Bulls,1:23.072
10,22,Yuki TsunodaTSU,Red Bull Racing,
11,87,Oliver BearmanBEA,Haas F1 Team,1:23.041
12,55,Carlos SainzSAI,Williams,1:23.042
13,30,Liam LawsonLAW,Racing Bulls,1:23.077
14,12,Kimi AntonelliANT,Mercedes,1:23.080
15,18,Lance StrollSTR,Aston Martin,1:23.097
16,44,Lewis HamiltonHAM,Ferrari,1:23.394
17,23,Alexander AlbonALB,Williams,1:23.416
18,27,Nico HulkenbergHUL,Kick Sauber,1:23.450
19,10,Pierre GaslyGAS,Alpine,1:23.468
20,43,Franco ColapintoCOL,Alpine,1:23.890
